Identifier	Character	Dialogue	Filename	Line Number
ch01_main_75bd90b6		2008년, 봄. XX고등학교.	game/script.rpy	192
ch01_main_2b268fd9	s	…야.	game/script.rpy	193
ch01_main_3863b72b		어디선가 목소리가 들린다.	game/script.rpy	194
ch01_main_e6628e3f	s	야.	game/script.rpy	195
ch01_main_cb4224cd		목소리가 꽤 또렷하게 들리지만 고개는 여전히 무겁다. 아직 일어나기 싫다.	game/script.rpy	196
ch01_main_17af5792	s	일어나. 점심시간이야.	game/script.rpy	197
ch01_main_ff6c4f44		몽롱한 정신으로 고개를 들어 보니 어느 여자아이가 서 있다.	game/script.rpy	201
ch01_main_a56e183f	s	점심시간이라니까? 수업 중에 잠이나 자고. 아무튼 점심 먹으러 안 가?	game/script.rpy	203
ch01_main_9cecd004	s	그럼 빨리 일어나. 너 때문에 밥 먹을 시간이 줄고 있잖아.	game/script.rpy	209
ch01_main_57fcbe71	s	지금 가야 맛난 거 많이 먹을 수 있단 말이야. 빨리 나와.	game/script.rpy	212
ch01_main_806c6f67	s	갑자기 무슨 헛소리야? 빨리 나오기나 해. 나 배고프다니까.	game/script.rpy	215
ch01_main_58aba664		이럴거면 왜 물어본건지... 결국 잠이 덜 깬 몸을 일으켜 급식실로 향한다.	game/script.rpy	221
ch01_main_dc0a1d24	s	......너 이상해.	game/script.rpy	224
ch01_main_72903bc2		결국 잠이 덜 깬 몸을 일으켜 급식실로 향한다.	game/script.rpy	226
ch01_main_c1276b4a	s	안돼. 빨리 나와, 빨리!!!	game/script.rpy	229
ch01_main_72903bc2_1		결국 잠이 덜 깬 몸을 일으켜 급식실로 향한다.	game/script.rpy	231
ch01_main_597842fc	s	새삼스럽게 왜 화내. 익숙해질 때도 됐잖아. 어서 가자.	game/script.rpy	234
ch01_main_72903bc2_2		결국 잠이 덜 깬 몸을 일으켜 급식실로 향한다.	game/script.rpy	236
ch02_main_9f2d35d0		이 아이의 이름은 서은. 당찬 성격인 아이라서 매번 나를 이런 식으로 질질 끌고 간다.	game/script.rpy	245
